Starter Deck,Booster 1,Nom,Equipe,Player,Default,Photo,Postes,Niveau,Acquisition,Points Recrutement,Points Action,Tir Ext,Jeu Int,Penetration,Interception,Contre,Stop,Nb,Total carac,Total Meta,Total
X,,Titulaire PG 1,,A,Y,basketball-player-silhouette-1_dribble.png,PG,1,2,2,2,1,0,0,1,0,0,1,2,4,10
X,,Titulaire PG 1,,B,Y,basketball-player-silhouette-1_dribble.png,PG,1,2,2,2,1,0,0,1,0,0,1,2,4,10
X,X,Titulaire PG 2,,A,,pg_silhouette_passe.png,PG,1,2,2,1,0,0,2,0,0,1,1,3,3,9
X,X,Titulaire PG 2,,B,,pg_silhouette_passe.png,PG,1,2,2,1,0,0,2,0,0,1,1,3,3,9
X,,Titulaire SG 1,,A,Y,silhouette-3127330_960_720.png,SG,1,2,2,1,2,0,0,1,0,0,1,3,3,9
X,,Titulaire SG 1,,B,Y,silhouette-3127330_960_720.png,SG,1,2,2,1,2,0,0,1,0,0,1,3,3,9
X,X,Titulaire SG 2,,A,,sg_silhouette_shooting.png,SG,1,2,2,1,1,0,0,2,0,0,1,3,3,9
X,X,Titulaire SG 2,,B,,sg_silhouette_shooting.png,SG,1,2,2,1,1,0,0,2,0,0,1,3,3,9
X,,Titulaire SF 1,,A,Y,sf_silhouette_dunk.jpg,SF,1,2,2,1,0,0,1,1,0,1,1,3,3,9
X,,Titulaire SF 1,,B,Y,sf_silhouette_dunk.jpg,SF,1,2,2,1,0,0,1,1,0,1,1,3,3,9
X,X,Titulaire SF 2,,A,,pf_silhouette_1.png,SF,1,2,2,1,1,0,1,0,0,1,1,3,3,9
X,X,Titulaire SF 2,,B,,pf_silhouette_1.png,SF,1,2,2,1,1,0,1,0,0,1,1,3,3,9
X,,Titulaire PF 1,,A,Y,basketball-player-silhouette-3-1.png,PF,1,2,2,1,0,1,1,0,0,1,1,3,3,9
X,,Titulaire PF 1,,B,Y,basketball-player-silhouette-3-1.png,PF,1,2,2,1,0,1,1,0,0,1,1,3,3,9
X,X,Titulaire PF 2,,A,,pf_silhouette_rebounding.png,PF,1,2,2,1,0,1,0,0,1,1,1,3,3,9
X,X,Titulaire PF 2,,B,,pf_silhouette_rebounding.png,PF,1,2,2,1,0,1,0,0,1,1,1,3,3,9
X,,Titulaire C 1,,A,Y,c_silhouette_skyhook.JPG,C,1,2,2,1,0,1,0,0,2,0,1,3,3,9
X,,Titulaire C 1,,B,Y,c_silhouette_skyhook.JPG,C,1,2,2,1,0,1,0,0,2,0,1,3,3,9
X,X,Titulaire C 2,,A,,c_silhouette_defense.png,C,1,2,2,1,0,2,0,0,1,0,1,3,3,9
X,X,Titulaire C 2,,B,,c_silhouette_defense.png,C,1,2,2,1,0,2,0,0,1,0,1,3,3,9
X,,Remplaçant PG 1,,A,Y,pg_silhouette_2.png,PG,0,0,1,1,1,0,0,1,0,0,1,2,2,6
X,,Remplaçant PG 1,,B,Y,pg_silhouette_2.png,PG,0,0,1,1,1,0,0,1,0,0,1,2,2,6
X,X,Remplaçant PG 2,,A,,pg_silhouette_3.jpg,PG,0,0,1,1,1,0,0,1,0,0,1,2,2,6
X,X,Remplaçant PG 2,,B,,pg_silhouette_3.jpg,PG,0,0,1,1,1,0,0,1,0,0,1,2,2,6
X,,Remplaçant SG 1,,A,Y,silhouette_shoot.png,SG,0,0,1,0,1,0,0,1,0,1,1,3,1,5
X,,Remplaçant SG 1,,B,Y,silhouette_shoot.png,SG,0,0,1,0,1,0,0,1,0,1,1,3,1,5
X,X,Remplaçant SG 2,,A,,sg_silhouette_jump_shot.png,SG,0,0,1,1,1,0,1,0,0,0,1,2,2,6
X,X,Remplaçant SG 2,,B,,sg_silhouette_jump_shot.png,SG,0,0,1,1,1,0,1,0,0,0,1,2,2,6
X,,Remplaçant SF 1,,A,Y,c_silhouette_standing.JPG,SF,0,0,1,1,0,0,2,0,0,0,1,2,2,6
X,,Remplaçant SF 1,,B,Y,c_silhouette_standing.JPG,SF,0,0,1,1,0,0,2,0,0,0,1,2,2,6
X,X,Remplaçant SF 2,,A,,pf_silhouette_shooting.JPG,SF,0,0,1,0,1,0,1,1,0,0,1,3,1,5
X,X,Remplaçant SF 2,,B,,pf_silhouette_shooting.JPG,SF,0,0,1,0,1,0,1,1,0,0,1,3,1,5
X,,Remplaçant PF 1,,A,Y,pf_silhouette_rebound.JPG,PF,0,0,1,0,0,1,0,0,1,1,1,3,1,5
X,,Remplaçant PF 1,,B,Y,pf_silhouette_rebound.JPG,PF,0,0,1,0,0,1,0,0,1,1,1,3,1,5
X,X,Remplaçant PF 2,,A,,c_silhouette_protect.JPG,PF,0,0,1,0,0,1,0,0,1,1,1,3,1,5
X,X,Remplaçant PF 2,,B,,c_silhouette_protect.JPG,PF,0,0,1,0,0,1,0,0,1,1,1,3,1,5
X,,Remplaçant C 1,,A,Y,c_silhouette_dunk.jpg,C,0,0,1,1,0,1,0,0,1,0,1,2,2,6
X,,Remplaçant C 1,,B,Y,c_silhouette_dunk.jpg,C,0,0,1,1,0,1,0,0,1,0,1,2,2,6
X,X,Remplaçant C 2,,A,,silhouette_block.png,C,0,0,1,0,0,1,0,0,1,1,1,3,1,5
X,X,Remplaçant C 2,,B,,silhouette_block.png,C,0,0,1,0,0,1,0,0,1,1,1,3,1,5
